Username,Date,Time,Tweet
gustavokralj,5/3/2023,1:10:40,"For the North American Synod Report the Synod on Synodality is a ‘Generational Project’ 
Days after the publication of the final document for the North American phase of the 2021-2024 Synod on Synodality, lead...
https://t.co/ebmHcpTYvG
#Newsdeskinbox #USC..."
InsideUSC,5/3/2023,1:01:01,#USC playing Long Beach State at Angel Stadium tonight https://t.co/eWw3TGRHCt
jacki_essays,5/3/2023,0:41:13,"Hmu for essays,assignments...
 #gramfam #msu #utrgv #clemsonuniversity #tsu #wvu #ssu #jsu #aamu #pvamu #txsu22 #fvsu #plnu #usm #tsu #bsu #nccu #ksu #umbc #myasu #nsu #famu #utsa #msu #twu #usc #uncg #nyu #flu #gsu #spelman #osu #auburnuniversity #svsu

https://t.co/Zz7fYK0Swa https://t.co/2XEwHCbYHP"
hankwasiak,5/3/2023,0:20:23,"Part 3 of Sorority Dinner! Had a great time!

#usc #sorority #frommadmantohappyfarmer https://t.co/X7hDvdYQSv"
hankwasiak,5/3/2023,0:10:16,"Part 2 of Sorority Dinner Invite!

#usc #sorority #frommadmantohappyfarmer https://t.co/eFbdofSELb"
hankwasiak,5/3/2023,0:01:08,"Invite to Sorority dinner! Thank you to Annie for asking me!

#usc #sorority #frommadmantohappyfarmer https://t.co/jPwqQprOYY"
will_camardella,5/2/2023,23:56:06,"My view from the Legends Suites at Angel Stadium, where #USC will battle Long Beach State in about an hour. https://t.co/Sec7D7BvV3"
InsideUSC,5/2/2023,23:49:48,It was a big deal when #USC reclaimed the Victory Bell in 1952 https://t.co/Y0O6IUo1Wu
GGreensss,5/2/2023,23:00:51,"- Why SC MUST go after Keon Coleman
- What makes @XavierJordan011 special
- Mycah Pittman USC smoke
#USC #FightOn 

USC Transfer Portal Roundup #4 Keon Coleman, Xavier Jordan Commits (USC ... https://t.co/riNXKWRdPa via @YouTube"
USC_Rivals,5/2/2023,22:57:55,"Our Jeff McCulloch (@Rivals_Jeff) checked in with four-star Rivals100 priority #USC #FightOn OL target DeAndre Carter for the latest on his Trojans recruitment. 

https://t.co/Y1caxPwOd8"
MicrotelGarners,5/2/2023,22:32:08,"Is there really a city lost in the sea's depths? Catch The Lost City: Between Art and Science and other exhibitions daily at the #USC McKissick Museum! 

Right next to Fort Jackson, our pet-friendly property is perfect for visiting families. Book today! https://t.co/4hyxPdpB4h https://t.co/mPWP4oQ8d4"
bvbiahouston,5/2/2023,22:30:05,"🚨 GAME HIGHLIGHT 🚨
What a goal by #15 Jake G! 💥 Sharp and quick to get onto the rebound after #12 Junior's shot was blocked, he was on hand to put the ball in the back of the net! 🥅⚽️
#BVBIHouston #BVBIAH #BVB09 #USC #UnitedSoccerClubs #STYSA #HYSA #SSDL #AcademySoccer https://t.co/JiQbcmwCRh"
gustavokralj,5/2/2023,22:29:45,"Analysis: US Washington State Bill Takes Away Confession Secrecy on Abuse Reporting 
A bill that would require clergy to report child abuse or neglect in Washington state was advanced by the state's House,...
https://t.co/PyAPwhyr4G
#Newsdeskinbox #USC..."
gustavokralj,5/2/2023,22:08:21,"For the North American Synod Report the Synod on Synodality is a ‘Generational Project’ 
Days after the publication of the final document for the North American phase of the 2021-2024 Synod on Synodality, lead...
https://t.co/LXZHekjRbQ
#Newsdeskinbox #USC..."
TrojansWire,5/2/2023,22:00:25,"When #USC goes to the #B1G, it will have another source of big plays.  https://t.co/gaxFcuVLvH"
WashsCade,5/2/2023,21:16:55,"Check out #USC 2008 #Commencement ($12.99)
https://t.co/GEmstKhoi5 #eBay via #eBay"
Gil_InUrCorner,5/2/2023,20:20:11,"LeBron facing Curry &amp; the Warriors in the playoffs for the 1st time in a Lakers uni.

Also for the first time in a non-championship playoff series.

I'm sticking with the purple &amp; gold.

#FightOn #USC #LakeShow #Lakers https://t.co/m3YG0Cm2nH"
PaddleHistory,5/2/2023,20:00:05,"University of Southern California, #LosAngeles, #California. #FightOn #USC #Trojans https://t.co/Yf3vHFvokF"
Dallasfanindc1,5/2/2023,19:56:14,"WATCH MICHIGAN TAKE THIS ""L"" LIVE STREAM 🚨☘️☘️☘️😂😂 @MaizeMadMan @Antoine57791264 @MarkRogersTV @Bucknuts247 @EJHollandOn3 #Michigan
#GoBlue #OhioState #Buckeyes #USC #LSU FREEMAN TRAIN IS COMING FAST FOR THE TOP 🚂🚂🚂🔥🔥🔥☘️☘️☘️ #CollegeFootball 
https://t.co/IUIPnLA0ZU"
On3USC,5/2/2023,19:33:12,"Impact of 5-Star DL Aydin Breland's First #USC Visit Since November❕📈👀

https://t.co/vS2bqObtIu via @Scott_Schrader #FightOn✌🏼"
gustavokralj,5/2/2023,19:29:19,"Analysis: US Washington State Bill Takes Away Confession Secrecy on Abuse Reporting 
A bill that would require clergy to report child abuse or neglect in Washington state was advanced by the state's House,...
https://t.co/CVyIdVfVpr
#Newsdeskinbox #USC..."
USCCenter4PR,5/2/2023,19:20:38,"The 2023 Global Communication Report, “New Reputation,” incorporates themes explored in previous reports about social purpose &amp; corporate activism into the rubric of reputation, which has always been the purview of our industry. 

Tap the link in our bio to download! #ASCJ #USC https://t.co/nqsln613D2"
Ale_LtdEdition,5/2/2023,19:17:50,I can pleasantly say that #USC wireless connection sucks 🙂
gustavokralj,5/2/2023,19:08:06,"For the North American Synod Report the Synod on Synodality is a ‘Generational Project’ 
Days after the publication of the final document for the North American phase of the 2021-2024 Synod on Synodality, lead...
https://t.co/gGXUE39jCx
#Newsdeskinbox #USC..."
IESportsRadio,5/2/2023,19:01:04,"Tune in live for #SetPoint with @TeranRodriguez1!
#NCAAVolleyball #NCAAMVB #Hawaii #UCLA #OhioState #PennState #LBSU #GCU #NCAABVB #NCAATournament #TCU #USC #FSU #NVA #Event2 #CCCAA #OCC #HighSchoolBoysVolleyball
@Set_PointIE
https://t.co/J4khNBvK2P https://t.co/dfZ27wIlVy"
uid0_and_Beyond,5/2/2023,18:42:51,USC Master of Business for Veterans (MBV) - It was my 6th year of team mentoring another group of outstanding cohorts. All teams had great projects! Here I am pictured with the IBMers and winning team last Friday. Great program! #ibm #usc #fighton…https://t.co/l715qCaqyX
Rajagopalan_Pri,5/2/2023,18:28:16,"Our own MR Physicist, Dr. Zhaoyang Fan, moderating a session on vessel wall imaging! #ASNR2023 @fan_zhaoyang #USC #Trojan family https://t.co/AhiaNBREUJ"
IESportsRadio,5/2/2023,18:04:15,"Next Up: TUE 5/2 12pm PST/3pm EST #SetPoint with @TeranRodriguez1
#NCAAVolleyball #NCAAMVB #Hawaii #UCLA #OhioState #PennState #LBSU #GCU #NCAABVB #NCAATournament #TCU #USC #FSU #NVA #Event2 #CCCAA #OCC #HighSchoolBoysVolleyball
@Set_PointIE
https://t.co/J4khNBvK2P https://t.co/g8tTiCuaPZ"
TrojanConquest,5/2/2023,17:50:46,"@FightOnRusty Pure Gold -that entire town &amp; program is a lead vest that'll drag anyone down over time.  They have neato closet for their 873 Uni combos but that's it, folks - they got nuthin' else of substance, 'cept uncle Phil's $.

@MarcKulkin @Scott_Schrader @ChrisNTrevino 
#USC #FightOn"
TrojansWire,5/2/2023,17:06:01,.@TheNFLWire is handing out #NFLDraft grades. How were the #Vikings graded based on (in part) their #USC picks?  https://t.co/xapBMMWBNY
USCGradAdm,5/2/2023,17:01:57,"George Takei is an American actor, author and activist best known for his role as Hikaru Sulu in the original Star Trek TV series. During WWII, Takei and his Japanese American parents lived in US-run internment camps.

#StarTrek #USC #AAPI #Activism https://t.co/OSEkDZEqaO"
5monthsago,5/2/2023,16:52:44,12-02-22: #Utah upsets #USC to claim #PAC12 title https://t.co/CoI5prVxdt
On3USC,5/2/2023,16:34:45,"THE LATEST: Alabama CB Tre'Quon Fegans and #USC

https://t.co/MH34Pecq3d via @Scott_Schrader #FightOn✌️"
gustavokralj,5/2/2023,16:28:15,"Analysis: US Washington State Bill Takes Away Confession Secrecy on Abuse Reporting 
A bill that would require clergy to report child abuse or neglect in Washington state was advanced by the state's House,...
https://t.co/ewIfvY7GfN
#Newsdeskinbox #USC..."
Scott_Schrader,5/2/2023,16:25:07,"THE LATEST: Alabama CB Transfer Tre’Quon Fegans AND #USC❕📈

https://t.co/OjOdU7YuA7 via @On3USC #FightOn✌🏼 https://t.co/pvywlcubqZ"
gustavokralj,5/2/2023,16:07:19,"For the North American Synod Report the Synod on Synodality is a ‘Generational Project’ 
Days after the publication of the final document for the North American phase of the 2021-2024 Synod on Synodality, lead...
https://t.co/GMqawImRyo
#Newsdeskinbox #USC..."
TrojansWire,5/2/2023,16:00:57,Which team will get Caleb Williams next year? @TheNFLWire is already mapping out #NFLDraft scenarios. It’s the cool thing to do. #USC  https://t.co/we2YEECoH6
USCOnlineMPH,5/2/2023,16:00:02,"Check out the results of this recent study conducted by #USC professor, Dr. Besaratinia: https://t.co/qjCy9MX1Vo @USCOnline https://t.co/U2bWBGGGjS"
49ersSportsTalk,5/2/2023,15:21:31,"SHAME SHAME SHAME!!!! I hate these “anonymous” Coaches who put out stuff like this, setting unbelievably high bars of expectation. 

Let the kid play, learn, live and love the sport he plays. Stop with these stupid comparisons. So dumb. #USC #NFL https://t.co/HV37CvMa8a"
